Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Portatil: HP;5000.0;100.0;4900.0
Abbc1;VPar-Guatapuri;Valledupar;Cesar;Televisor: LG;2000.0;400.0;1600.0
